name,category,ingredient
닭가슴살 오이무침,다이어트 키토,닭가슴살 오이 홍고추 청고추 고수 스윗 칠리소스 피쉬소스 (액젓) 레몬즙 포도씨유 설탕 다진 적양파
그릭요거트 베이글,간식,플레인 그릭 요거트 베이글 베이컨 쪽파 청양고추 올리고당 소금 후춧가루
얼그레이 밀크티,간단요리,우유 우유 유기농 비정제 설탕 얼그레이 잎차
차돌박이 콩나물겉절이,퓨전 오븐 요리,차돌박이 콩나물 상추 깻잎 고춧가루 멸치액젓 설탕 식초 간장 유자청 다진 마늘 참기름 후춧가루
배추말이만두,다이어트 메인요리,배추 갈은 돼지고기 두부 부추 생강 가루 소금 후춧가루
명란오삼불고기,한식 메인요리,명란젓 돼지고기(대패삼겹살) 오징어 양파 청고추 홍고추 대파 양배추 깻잎 참기름 고추장 고춧가루 진간장 설탕 올리고당 굴소스 맛술 생강가루 다진 마늘 후춧가루
문어스테이크,초대요리,자숙 문어 다리 올리브오일 마늘 페페론치노 오레가노 후춧가루 딜 파마산치즈 삶은 감자 버터 생크림 소금
가지갈비,채식 키토,가지 새송이버섯 쪽파 통깨 간장 설탕 물엿 맛술 다진 마늘 식용유 참기름 후춧가루
대하치즈구이,오븐 요리 초대요리,대하 청주 피자치즈 마요네즈 다진 마늘 후춧가루 레몬 다진 파슬리
치즈버거,메인요리 양식 초대요리,햄버거빵 다진 쇠고기 슬라이스 치즈 가염 버터 소금 후춧가루 바베큐 소스 마요네즈
목살고추장구이,메인요리,목살 대파 전분 맛술 소금 후춧가루 통깨 고추장 간장 다진 마늘 생강가루 물엿 설탕 참기름 간장 식초 설탕
오징어 버터구이,안주,오징어 다진 파슬리 버터 꿀 간장 다진 마늘 마요네즈 다진 청양고추 레몬즙
로메인 시저샐러드,초대요리,로메인 상추 베이컨 식빵 파마산 치즈 가루 레몬 올리브오일 마요네즈 다진 양파 다진 마늘 멸치액젓 식초 설탕 후춧가루
유자삼치구이,오븐 요리,손질 삼치 마늘 페페론치노 전분 맛술 후춧가루 식용유 유자청 간장 맛술 물엿 설탕 물 생강 가루 후춧가루
